LineNum,LineName
0,101路(文阳路锦城路站--沧口公园)
1,102路(虎山路顺河支路--虎山路顺河支路)
2,103路(城阳十五中1--李村站)
3,103路互联网公交快车(大崂路夏庄路--城阳十五中)
4,105路(森林国际--李村公园2)
5,10路环行(板桥坊4--板桥坊)
6,111路(前金停车场--前金停车场)
7,114路(营房--李村公园7)
8,115路(青岛求实学院--李沧体育中心)
9,115路区间车(李沧体育中心2--徐家)
10,116路(前金停车场--沧口公园)
11,117路(兴华路永平路--长城路)
12,119路(营房--台东)
13,11路(极地海洋世界--榉林公园)
14,121路(沧口公园--沧口公园)
15,122路(白沙湾2--李村公园)
16,123路(李村书院路站--桃园雅居)
17,125路(海大崂山校区西门--台东)
18,126路(滨江路公交停车场--滨江路公交停车场)
19,128路(毕家上流--沧口公园)
20,129路(顺鑫驾校--李村公园2)
21,12路(开封路--福州南路江西路)
22,130路(戴家--沧口公园)
23,131路(李村公园--李村公园)
24,15路(天泰体育场5站--天泰体育场)
25,16路(四方1--阅海府邸站)
26,17路(枯桃花卉中心--世博园停车场)
27,18路(小埠东--南丰路)
28,19路(汽车东站1站--汽车东站)
29,1路(安徽路湖北路--四方宣化路)
30,205路(宁夏路永嘉路站--宁夏路永嘉路站)
31,206路(天泰体育场4--天泰体育场)
32,207路(铁路北站东广场--铁路北站东广场)
33,208路(开封路停车场--开封路停车场站)
34,209路(陵县支路--洛东小区)
35,20路(大窑沟站--洛东小区1)
36,210路环行(四方1站--四方)
37,211路(大窑沟站--福州北路停车场)
38,212路环线(错埠岭永吉路--错埠岭)
39,213路(十梅庵停车场--十梅庵停车场)
40,214路(四川路停车场--天泰体育场站)
41,215路(海岸阳光--团岛贵州路)
42,216路(李村公园3--李村公园)
43,217路上行(团岛台西一路--团岛台西一路)
44,218路(泰安路--隆德路)
45,219路(南丰路萍乡路站--南丰路萍乡路站)
46,21路(团岛四川路1--团岛四川路)
47,220路(团岛贵州路站--宁夏路永嘉路站)
48,221路(胶州路芝罘路站--福州北路停车场)
49,222路(陵县支路--麦岛路停车场)
50,223路(天泰体育场1--刘家下庄)
51,224路(南丰路--南丰路)
52,225路(麦岛路停车场--麦岛路停车场)
53,226路(宁德路青大一路站--宁德路青大一路站)
54,227路(社会福利院--社会福利院)
55,228路环线(上客站--福州北路停车场)
56,229路(桑梓路人和路2--桑梓路人和路1)
57,22路(十梅庵停车场--胜利桥)
58,230路(石老人--虎山路顺河支路)
59,231路(麦岛路停车场--麦岛路停车场)
60,232路(麦岛路停车场--麦岛路停车场)
61,233路(惠水和苑--沧口公园)
62,23路(铁路北站东广场--铁路北站东广场)
63,24路(大港--铁路北站东广场)
64,25路(团岛贵州路站--市政府山东路)
65,26路(东平路--宁夏路永嘉路站)
66,27路(铁路北站东广场--十梅庵停车场)
67,28路(汽车东站停车场2--汽车东站停车场)
68,29路(沧口公园--青岛求实学院)
69,2路(金坛路--西镇)
70,2路区间(铁路青岛站广西支路站--镇宁立交桥西站)
71,302路(板桥坊3--天泰体育场)
72,302路快线(板桥坊3--天泰体育场3)
73,303路(李沧工业园--铁路青岛站西广场站)
74,304路/304路专线车(流清河--四川路滋阳路)
75,307路(铁路青岛站西广场站--劲松一路)
76,308路(铁路青岛站郯城路站--劲松一路)
77,309路(辛家庄小区1站--洛东小区)
78,30路(台东郭口路--胜利桥)
79,310路(洛东小区1--洛东小区)
80,312路(汽车东站停车场1--西藏路滋阳路)
81,313路快线(板桥坊2--青岛科技大学西)
82,313路环线(板桥坊2--板桥坊)
83,314路(敦化路山东路站--汽车东站停车场)
84,316路(四川路停车场--麦岛路停车场)
85,317路(云岭路停车场--天泰体育场)
86,318路(市政府南通路1--李沧体育中心1)
87,318路快线(市政府南通路1--虎山军体中心)
88,319路(瑞安路停车场站--瑞安路停车场站)
89,31路(天泰体育场2--天泰体育场站)
90,320路(隆德路2--台东郭口路)
91,321路(环行线)(市政府山东路3--市政府山东路)
92,322路(瑞安路停车场站--瑞安路停车场站)
93,325路(铁路北站东广场--四川路停车场)
94,326路(恒星学院--康宁路)
95,327路(南崂路巨峰路--天泰城)
96,327路(地铁接驳区间车1号线)(天泰城--李村)
97,327路(地铁接驳区间车2号线)(青岛印象湾--李村)
98,327路(地铁接驳区间车3号线)(文昌路雨湖路站--李村)
99,32路(海洋地质所--海洋地质所)
100,33路(隆德路2站--北岭)
101,35路(铁路北站东广场--铁路北站东广场)
102,361路(恒星学院--开封路停车场站)
103,362路快车(石老人--开封路停车场站)
104,363路(辛家庄小区2站--百通馨苑)
105,364路(十梅庵公园--南丰路)
106,366路(大窑沟1--镇平一路)
107,367路(湖北路安徽路站--南丰路萍乡路站)
108,368路环行(李村公园7站--李村公园)
109,369路(滨江路公交停车场--滨江路公交停车场)
110,36路(榉林公园停车场--榉林公园停车场)
111,370路(汽车东站停车场1站--汽车东站停车场)
112,371路/371路专线车(盛世美域西--康宁路)
113,373路/373路专线车(镇平一路--城阳十五中)
114,375路(镇平一路--青岛科技大学)
115,378路(湖岛1--湖岛)
116,379路(劲松一路2--劲松一路)
117,37路(流清河社区--麦岛路停车场)
118,380路(汽车东站停车场1站--汽车东站停车场)
119,381路(李沧福利院--劲松一路)
120,382路(隆德路1站--海大崂山停车场)
121,383路(仰口--海大崂山停车场)
122,384路(海大崂山停车场--海大崂山停车场)
123,385路(海大崂山停车场--海大崂山停车场)
124,386路(海大崂山停车场--海大崂山停车场)
125,387路(铁路北站东广场--海大崂山停车场)
126,388路(海大崂山停车场--海大崂山停车场)
127,389路(世博园停车场--劲松一路)
128,390路(胜利桥停车场--世博园停车场)
129,3路(动物园北门--李村公园)
130,401路(宁夏路永嘉路--宁夏路永嘉路站)
131,402路(市政府山东路3--市政府山东路)
132,403路(麦岛路停车场--麦岛路停车场)
133,405路(福州北路停车场--福州北路停车场)
134,406路(福州北路停车场站--福州北路停车场)
135,407路(李村公园6--李村公园)
136,408路(李村公园6--李村公园)
137,409路环行(劲松一路2--劲松一路)
138,410路(洛东小区3--洛东小区)
139,411路(天泰体育场5站--天泰体育场)
140,412路(团岛四川路2站--团岛四川路)
141,413路(海岸馨园西门--海岸馨园西门)
142,414路(向阳小区--长城路站)
143,415路(凤栖谷路--麦岛路停车场)
144,416路(瑞安路停车场站--瑞安路停车场站)
145,417路(湖岛--镇平一路)
146,461路(汽车东站1--汽车东站)
147,462路(海尔工业园南门1--汽车东站)
148,463路(汽车东站--汽车东站)
149,464路(小西湖1--小西湖2)
150,465路(高昌路科苑纬三路--高昌路科苑纬三路)
151,466路(秦家土寨--秦家土寨)
152,467路(田家花园新田路--田家花园新田路)
153,468路(小西湖2--小西湖1)
154,469路(七峪--周哥庄停车场)
155,470路(五龙涧--周哥庄停车场)
156,472路(周哥庄停车场--慕武石社区)
157,4路(陵县支路--错埠岭)
158,501路(齐鲁医院--汽车东站停车场)
159,502路(市政府南通路3--长城路)
160,503路(天泰城停车场--天泰城停车场)
161,503路快车(书城--天泰城停车场)
162,53路(官厅市场--赵家庄)
163,57路(邮电局--宝山换乘站)
164,58路(荒里--积米崖公交首末站)
165,59路(积米崖公交首末站--青岛真情巴士集团)
166,5路(胜利桥停车场2--铁路青岛站广西支路站)
167,601路(上客站--临时站)
168,602路(湖清路停车场--刘家下庄)
169,603路(铁路北站东广场--青岛六十五中)
170,604路(小西湖2站--小西湖1)
171,605路(天泰体育场1--汽车北站)
172,606路(青岛科技大学--汽车北站1)
173,607路(长春路曹县路--汽车东站候车室)
174,608路(汽车北站1--长春路曹县路)
175,609路(汽车东站1站--湖清路停车场)
176,610路(沙子口--刘家下庄)
177,611路(沙子口站--汽车东站)
178,612路(崂山六中--刘家下庄)
179,613路(汽车北站2--汽车北站)
180,614路(汽车北站3--铁路北站西广场)
181,615路(解家河--仰口)
182,616路(秦家土寨--仰口)
183,618路(垭口--仰口)
184,619路(卧龙社区--汽车东站停车场)
185,620路(仰口--仰口)
186,621路(竹窝社区--汽车东站停车场1)
187,622路(海尔工业园南门2--海尔工业园南门)
188,623路(汽车东站停车场1--汽车东站停车场)
189,624路(青岛长途汽车站--铁路北站西广场)
190,625路(青岛王埠小学--汽车东站候车室)
191,626路(大沙路停车场--大沙路停车场)
192,627路(磨菇石--仰口)
193,628路(海大崂山校区--周哥庄停车场)
194,629路(双山怀远路--颐和星苑)
195,630路(崂山(大河东)游客服务中心站--颐和星苑)
196,631路(新利路停车场--海尔工业园南门)
197,632路(汽车东站--汽车东站)
198,633路(海尔工业园南门1--海尔工业园南门)
199,634路(天山一路枢纽站--毛公山)
200,635路(秦家土寨--仰口)
201,636路(铁路北站西广场--天山一路枢纽站)
202,637路(新利路停车场--新利路停车场)
203,638路(海尔工业园南门2--石老人)
204,639路(观崂停车场--周哥庄停车场)
205,640路(汽车北站2--世博园停车场)
206,641路(世博园停车场--香港东路秦岭路站)
207,642路(即墨公交枢纽南站--汽车北站)
208,643路(大村庄--北宅停车场)
209,644路(超然社区--铁路城阳站)
210,645路(世博园停车场--汽车东站)
211,646路(凉泉理想村--周哥庄停车场)
212,647路(九七一医院崂山医疗区--高昌路科苑纬三路)
213,648路(铁路北站西广场--瑞滨路昌嘉路)
214,671路(山东大学公交换乘站--七二五所)
215,672路(汽车东站2站--山东大学公交换乘站)
216,673路(惜福镇--山东大学公交换乘站)
217,674路(国家深海基地--问海路停车场)
218,675路环行(山东大学公交换乘站--山东大学公交换乘站)
219,676路(水泊站--山东大学公交换乘站)
220,677路(山东大学公交换乘站--院上)
221,678路(山东大学公交换乘站--山东大学公交换乘站)
222,679路(山东大学地铁站--山东大学公交换乘站)
223,6路(泰山路益都路--天泰体育场)
224,72路(泊里枢纽站--董家口管委公交首末站)
225,73路(向阳岭路车轮山路--珠山路站)
226,755路(董家溜--张家楼地铁站)
227,75路(墨香路临港路--珠山路站)
228,761路(高新区停车场--市政府南通路)
229,762路(高新区停车场--高新区停车场)
230,763路(板桥坊1--高新区停车场)
231,765路(方特梦幻王国2站--康宁路)
232,766路(新韵路--汽车北站)
233,767路(新韵路--汽车北站1)
234,768路(长城路2--高新区停车场)
